ensembl_transcript_id,sym,ensembl_peptide_id,Spearman_Correlation,P_Value,Score,Variance,Gene,Importance,Classifier_Importance,P_Value_Corrected,Final_Composite_Score
ENSCGRT00001006415,ENSCGRG00001005432,ENSCGRP00001004299,0.3815728035426489,0.3713205979531411,0.0435798029351795,0.019984130554141135,4072,3.785214978383713e-05,0.0,0.017994302460412656,0.11628451956126026
ENSCGRT00001031621,Msl3,ENSCGRP00001027374,0.381527616695034,0.3709868736899494,0.04364964035150969,0.007760655592778145,24732,1.3673399327586879e-06,0.0,0.01801063959420465,0.11625982753690711
ENSCGRT00001018566,ENSCGRG00001015235,ENSCGRP00001014329,0.2902200599478846,0.02954351070633159,0.3723811675709767,0.004342585409802593,13016,0.06505926410331683,0.0,0.06398485704054149,0.1162352461245804
ENSCGRT00001032220,Dgkq,ENSCGRP00001027972,0.38140711843472763,0.3700978351776222,0.04383621022134947,0.005466145778129334,25275,1.1594883288787513e-05,0.0,0.0180542334031045,0.1162316170798798
ENSCGRT00001001388,Ubl4b,ENSCGRP00001001333,0.38095524995857877,0.366775515620438,0.04454021877715874,0.02013705097135798,1188,6.631998573918155e-06,0.0,0.01821807470135539,0.11611070365721003
ENSCGRT00001003206,7SK-ENSCGRG00001002651,non-coding,0.3600789263605007,0.23340829618011158,0.08513988688081507,0.0020642528390646007,2249,0.0032515166950778576,0.01642492258537319,0.02642995450951639,0.11591093484872239
ENSCGRT00001032279,Scube2,ENSCGRP00001028031,0.3801117621364342,0.3606228283094376,0.04587292300545484,0.05708500831075898,25326,3.630376808775739e-07,0.0,0.018525454116073193,0.11588620111572588
ENSCGRT00001026931,2310033P09Rik,ENSCGRP00001022686,0.3796900182253619,0.3575704462401772,0.04654838849289903,0.015506885250038297,20498,0.00016188375643130934,0.0,0.01867989847851185,0.11583165463021071
ENSCGRT00001012923,Phb2,ENSCGRP00001008778,0.37800304258107276,0.34552110258207824,0.049311600526565996,0.012062803330063498,8206,0.0011466825976296415,0.0,0.01930272331335014,0.11573252401482721
ENSCGRT00001003817,Snora52,non-coding,0.377400551279541,0.3412800150274232,0.0503224631613604,0.002438608477040776,2586,0.001476167745640145,0.0,0.019527123725828256,0.11568953646741915
ENSCGRT00001029878,Dnajc25,ENSCGRP00001025632,0.3790272777936769,0.352806180912254,0.04762218774263436,0.3626559276371122,23152,5.738649363897948e-07,0.0,0.018923615394067176,0.11560074573023753
ENSCGRT00001004392,Ercc4,ENSCGRP00001003112,0.37880134355560247,0.3511910431418459,0.04799172159447296,0.0028759267499447213,2931,0.0001138368883158266,0.0,0.01900698567676363,0.11558094454526763
ENSCGRT00001027235,Agtpbp1,ENSCGRP00001022990,0.37884653040321736,0.3515137025566598,0.047917673446517976,0.007646557748458544,20774,3.236982185697819e-05,0.0,0.01899030001747577,0.11556431856036273
ENSCGRT00001023548,ENSCGRG00001018776,ENSCGRP00001019304,0.3788766549682939,0.3517289111068087,0.04786834730549974,0.24705742713185963,17498,2.812222558857752e-06,0.0,0.01897917946813489,0.11556189871519726
ENSCGRT00001017775,Ubtf,ENSCGRP00001013538,0.37804822942868765,0.34584050651561715,0.04923629779932231,0.028964020597382508,12331,0.00025906811418248947,0.0,0.019285935005787784,0.11543373616914894
ENSCGRT00001028794,Scube1,ENSCGRP00001024548,0.37593950987332625,0.33113178026390666,0.052826909128303456,0.29495145335529604,22188,0.0018401319413958177,0.0,0.020075602777663067,0.1154334594192527
