ensembl_transcript_id,In Regressor,In Spearman+Regressor,In Classifier,In Composite,Total Hits
ENSCGRT00001012113,True,False,False,False,1
ENSCGRT00001011860,False,False,True,False,1
ENSCGRT00001014969,True,False,False,False,1
ENSCGRT00001018563,False,True,False,False,1
ENSCGRT00001018662,False,False,True,False,1
ENSCGRT00001013897,True,False,False,False,1
ENSCGRT00001026906,False,False,False,True,1
ENSCGRT00001003670,False,False,True,False,1
ENSCGRT00001001882,False,True,False,False,1
ENSCGRT00001000452,False,False,False,True,1
ENSCGRT00001013180,False,True,False,False,1
ENSCGRT00001025269,True,False,False,False,1
ENSCGRT00001012292,False,False,True,False,1
ENSCGRT00001011379,False,False,False,True,1
ENSCGRT00001001890,True,False,False,False,1
ENSCGRT00001024814,False,False,False,True,1
ENSCGRT00001018535,False,False,True,False,1
ENSCGRT00001000578,False,False,True,False,1
ENSCGRT00001023340,True,False,False,False,1
ENSCGRT00001000030,False,True,False,False,1
ENSCGRT00001028027,False,True,False,False,1
ENSCGRT00001024969,True,False,False,False,1
ENSCGRT00001022894,True,False,False,False,1
ENSCGRT00001023198,False,False,True,False,1
ENSCGRT00001026982,False,False,True,False,1
ENSCGRT00001009732,False,False,True,False,1
ENSCGRT00001012016,True,False,False,False,1
ENSCGRT00001025118,True,False,False,False,1
ENSCGRT00001013927,False,True,False,False,1
ENSCGRT00001025477,False,True,False,False,1
ENSCGRT00001027170,False,True,False,False,1
ENSCGRT00001018826,True,False,False,False,1
ENSCGRT00001028850,False,False,True,False,1
ENSCGRT00001020638,False,True,False,False,1
ENSCGRT00001027195,False,True,False,False,1
ENSCGRT00001024862,False,True,False,False,1
ENSCGRT00001027366,True,False,False,False,1
ENSCGRT00001013035,False,False,True,False,1
ENSCGRT00001024353,True,False,False,False,1
ENSCGRT00001025839,True,False,False,False,1
ENSCGRT00001001456,False,False,True,False,1
ENSCGRT00001021546,False,True,False,False,1
ENSCGRT00001004298,False,False,False,True,1
ENSCGRT00001002363,False,False,False,True,1
ENSCGRT00001029424,False,False,True,False,1
ENSCGRT00001024338,False,True,False,False,1
ENSCGRT00001023826,False,True,False,False,1
ENSCGRT00001018165,False,False,True,False,1
ENSCGRT00001029892,False,False,False,True,1
ENSCGRT00001002878,False,False,False,True,1
ENSCGRT00001028700,False,True,False,False,1
ENSCGRT00001015722,False,True,False,False,1
ENSCGRT00001010770,False,False,False,True,1
ENSCGRT00001028800,True,False,False,False,1
ENSCGRT00001018566,True,False,False,False,1
ENSCGRT00001011383,False,True,False,False,1
ENSCGRT00001021567,False,False,True,False,1
ENSCGRT00001016587,False,False,True,False,1
ENSCGRT00001000511,True,False,False,False,1
ENSCGRT00001023831,True,False,False,False,1
ENSCGRT00001022387,True,False,False,False,1
ENSCGRT00001000934,False,False,True,False,1
ENSCGRT00001028410,True,False,False,False,1
ENSCGRT00001021072,False,False,True,False,1
ENSCGRT00001008030,False,False,False,True,1
ENSCGRT00001020156,False,False,True,False,1
ENSCGRT00001015448,False,False,True,False,1
ENSCGRT00001024825,False,True,False,False,1
ENSCGRT00001010371,True,False,False,False,1
ENSCGRT00001019355,False,False,True,False,1
ENSCGRT00001026506,False,True,False,False,1
