ensembl_transcript_id,sym,ensembl_peptide_id,Gene,Importance
ENSCGRT00001006576,Pmp22,ENSCGRP00001004390,4174,0.0008417346526939899
ENSCGRT00001023446,Prss54,ENSCGRP00001019202,17403,0.0008341633978828849
ENSCGRT00001014439,Fbxl5,ENSCGRP00001010218,9421,0.0008273923839313442
ENSCGRT00001022003,Aldh1a1,ENSCGRP00001017759,16093,0.0008267400610576346
ENSCGRT00001018193,Fam25a,ENSCGRP00001013956,12696,0.0008254428147906513
ENSCGRT00001013168,Chpt1,ENSCGRP00001009002,8393,0.0008219412643400119
ENSCGRT00001028447,Rnf214,ENSCGRP00001024201,21875,0.0008170270011278549
ENSCGRT00001032246,Msn,ENSCGRP00001027998,25296,0.0008055821025964665
ENSCGRT00001021552,Mcemp1,ENSCGRP00001017308,15689,0.0007645165148565676
ENSCGRT00001031503,ENSCGRG00001024314,ENSCGRP00001027256,24623,0.0007524352377814196
ENSCGRT00001024367,Plpbp,ENSCGRP00001020123,18236,0.00074837910901588
ENSCGRT00001025178,Rgma,ENSCGRP00001020934,18948,0.0006706702729976265
ENSCGRT00001020623,Ythdf2,ENSCGRP00001016379,14849,0.0006637877749019949
ENSCGRT00001002322,Zfp84,ENSCGRP00001001904,1743,0.0006543037836548891
ENSCGRT00001019439,Foxp1,ENSCGRP00001015200,13809,0.0006234072551446799
ENSCGRT00001021607,Ehhadh,ENSCGRP00001017363,15739,0.0006141632615222315
ENSCGRT00001014653,Ntsr2,ENSCGRP00001010432,9601,0.0006008398212342271
ENSCGRT00001022571,Srprb,ENSCGRP00001018327,16601,0.0005881180244621962
ENSCGRT00001029526,Farsb,ENSCGRP00001025280,22842,0.0005712226184853733
ENSCGRT00001020106,Nup62,ENSCGRP00001015863,14395,0.0005662679964375746
ENSCGRT00001017009,BC024139,ENSCGRP00001012774,11656,0.0005606615834142694
ENSCGRT00001024628,Med16,ENSCGRP00001020384,18467,0.00055823527497142
ENSCGRT00001001159,Hoxd12,ENSCGRP00001001135,1023,0.0005308928277239962
ENSCGRT00001001092,Rps6kb2,ENSCGRP00001001068,965,0.0005282903401705298
ENSCGRT00001026736,ENSCGRG00001021021,ENSCGRP00001022491,20318,0.0005045008699709331
ENSCGRT00001030665,Zmat2,ENSCGRP00001026419,23861,0.0004991048799608382
ENSCGRT00001023808,Ppp1r12b,ENSCGRP00001019564,17729,0.00048378104555710087
ENSCGRT00001031684,Ift46,ENSCGRP00001027437,24787,0.00047048141305050675
ENSCGRT00001023104,Klf11,ENSCGRP00001018860,17087,0.00045640578774059086
ENSCGRT00001017777,Dlgap4,ENSCGRP00001013540,12333,0.0004549121573795238
ENSCGRT00001018690,Stx6,ENSCGRP00001014453,13126,0.0004540992524829328
ENSCGRT00001000297,Far2,ENSCGRP00001000273,256,0.00045369037110662034
ENSCGRT00001027719,Rbm33,ENSCGRP00001023473,21215,0.0004436293496830324
ENSCGRT00001014930,Hspb9,ENSCGRP00001010705,9830,0.0004420914639875179
ENSCGRT00001019072,Ripply1,ENSCGRP00001014833,13478,0.0004408003751845984
ENSCGRT00001020655,Ndufs7,ENSCGRP00001016411,14881,0.0004369200666700181
ENSCGRT00001008223,Arhgef2,ENSCGRP00001005348,5092,0.00043584581639264085
ENSCGRT00001012553,ENSCGRG00001010684,ENSCGRP00001008424,7907,0.0004330217387665545
ENSCGRT00001017198,Aurka,ENSCGRP00001012962,11820,0.000428096109739163
ENSCGRT00001021561,Spink8,ENSCGRP00001017317,15695,0.0004232966800755798
ENSCGRT00001007619,Zdhhc1,ENSCGRP00001004999,4751,0.00040049701103968066
ENSCGRT00001003106,Trim52,ENSCGRP00001002376,2187,0.0003992297898592178
ENSCGRT00001016405,Tns2,ENSCGRP00001012172,11131,0.00039855854300939415
ENSCGRT00001030668,Crybg2,ENSCGRP00001026422,23864,0.0003984315939376135
ENSCGRT00001021020,ENSCGRG00001017012,ENSCGRP00001016776,15213,0.00039608290969636757
ENSCGRT00001004032,Slc35a4,ENSCGRP00001002903,2706,0.00038995920323414745
ENSCGRT00001028255,Sacs,ENSCGRP00001024009,21699,0.00038760453588406287
ENSCGRT00001031589,Dnajc10,ENSCGRP00001027342,24702,0.0003860469618959414
ENSCGRT00001004662,Lrrc4,ENSCGRP00001003263,3077,0.00038463893123539254
ENSCGRT00001027058,Spg7,ENSCGRP00001022813,20614,0.0003758678254186697
ENSCGRT00001021252,Frmpd3,ENSCGRP00001017008,15422,0.00037508288556812995
ENSCGRT00001003425,Blvra,ENSCGRP00001002547,2358,0.00037350180400008253
ENSCGRT00001000288,Nrbp1,ENSCGRP00001000264,249,0.00036722290392721276
ENSCGRT00001025483,Oplah,ENSCGRP00001021239,19224,0.00036272871452473147
ENSCGRT00001024375,ENSCGRG00001019367,ENSCGRP00001020131,18243,0.0003597031837207996
ENSCGRT00001027848,Speg,ENSCGRP00001023602,21332,0.0003596938621345375
ENSCGRT00001013293,Tgfa,ENSCGRP00001009116,8494,0.00035967721481986744
ENSCGRT00001017483,Lsm4,ENSCGRP00001013246,12077,0.00035701972189280414
ENSCGRT00001023294,Ankrd27,ENSCGRP00001019050,17259,0.0003563403907273879
ENSCGRT00001019532,Hs1bp3,ENSCGRP00001015292,13890,0.00035611437867030435
ENSCGRT00001006146,Mtpn,ENSCGRP00001004139,3917,0.0003552892683021289
ENSCGRT00001027466,Tas1r2,ENSCGRP00001023221,20986,0.0003540200827814456
ENSCGRT00001029617,Uap1,ENSCGRP00001025371,22920,0.000353867336213083
ENSCGRT00001022731,Ptgir,ENSCGRP00001018487,16750,0.0003530047130225581
ENSCGRT00001027262,Ndufa6,ENSCGRP00001023017,20800,0.00034988216755378734
ENSCGRT00001015504,Isoc1,ENSCGRP00001011275,10327,0.00034818961573838877
ENSCGRT00001027842,Kmt5a,ENSCGRP00001023596,21327,0.0003467750012466785
ENSCGRT00001017233,Rpusd1,ENSCGRP00001012997,11851,0.00034599977047413305
ENSCGRT00001021297,Zfp386,ENSCGRP00001017053,15460,0.00034506466171454927
ENSCGRT00001032460,Dixdc1,ENSCGRP00001028212,25486,0.00034133563364301817
ENSCGRT00001021459,Rps7,ENSCGRP00001017215,15605,0.0003354951443157099
ENSCGRT00001027688,Prdm10,ENSCGRP00001023442,21187,0.0003338755036033634
ENSCGRT00001025379,Axin1,ENSCGRP00001021135,19126,0.0003335004755419139
ENSCGRT00001014677,Tsc2,ENSCGRP00001010456,9623,0.000333028274777572
